H-HP-HP-H,#e6194b
H-HP-HP-P,#3cb44b
H-HP-PP-H,#ffe119
H-PH-PP-H,#4363d8
H-PP-PH-H,#f58231
H-PP-PH-H1,#911eb4
H-PP-PH-H2,#911eb4
H-PP-PH-H3,#911eb4
H-PP-PH-P,#46f0f0
H-PP-PH-P1,#f032e6
H-PP-PH-P2,#f032e6
H-PP-PH-P3,#f032e6
H-PP-PP-H,#bcf60c
P-HH-HP-P,#fabebe
P-HH-PH-P,#008080
P-HP-HH-P,#e6beff
P-HP-HP-H,#9a6324
P-HP-HP-P,#fffac8
P-HP-HP-P1,#800000
P-HP-HP-P2,#800000
P-PH-HH-P,#aaffc3
P-PH-PH-P,#808000
P-PH-PH-P1,#ffd8b1
P-PH-PH-P2,#ffd8b1
P-PH-PH-P3,#ffd8b1
P-PH-PP-H,#000075
P-PH-PP-H1,#808080
P-PH-PP-H2,#808080
P-PH-PP-H3,#808080
P-PH-PP-P,#ffffff
P-PP-PH-P,#000000
